,classifier,sensitivity,specificity,precision,f1,accuracy,mean_auc,std_auc
0,decision tree_baseline_22_10fold,0.5974613686534216,0.6986754966887417,0.6649004073680225,0.6438460095759612,0.6480684326710817,0.6590461466860001,0.008650453213303502
0,random forest_baseline_22_10fold,0.6677704194260488,0.6666666666666666,0.6670691796510054,0.6670198801070765,0.6672185430463576,0.7138327966597897,0.00976328531118955
0,voting DT & RF_baseline_22_10fold,0.626269315673289,0.6800220750551876,0.6619580935578303,0.6518257969134721,0.6531456953642384,0.692997531226132,0.008665666005783257
0,decision tree_tunned_22_10fold,0.582560706401766,0.673289183222958,0.6431551583000638,0.6110233144339011,0.6279249448123622,0.6692775533519736,0.016645236400882665
0,random forest_tunned_22_10fold,0.6922737306843267,0.6596026490066225,0.6704924541936265,0.6753000942267761,0.6759381898454746,0.7347220917603781,0.00847592825095014
0,voting DT & RF_tunned_22_10fold,0.6805739514348785,0.6644591611479028,0.669994041792108,0.6720045645645062,0.6725165562913907,0.7314186061797626,0.008711679739965955
